date,country,networks,market_volume
2021-04-26,AR,other,48892.0
2021-04-27,AR,other,41281.0
2021-04-28,AR,other,40591.0
2021-04-29,AR,other,46846.0
2021-04-30,AR,other,51064.0
2021-05-01,AR,other,101375.0
2021-05-02,AR,other,134379.0
2021-05-03,AR,other,115740.0
2021-05-04,AR,other,108713.0
2021-05-05,AR,other,103168.0
2021-05-06,AR,other,95474.0
2021-05-07,AR,other,89174.0
2021-05-08,AR,other,134753.0
2021-05-09,AR,other,119834.0
2021-05-10,AR,other,110437.0
2021-05-11,AR,other,107941.0
2021-05-12,AR,other,88292.0
2021-05-13,AR,other,98450.0
2021-05-14,AR,other,108151.0
2021-05-15,AR,other,127177.0
2021-05-16,AR,other,178114.0
2021-05-17,AR,other,130415.0
2021-05-18,AR,other,103133.0
2021-05-19,AR,other,41364.0
2021-05-20,AR,other,50271.0
2021-05-21,AR,other,52378.0
2021-05-22,AR,other,49644.0
2021-05-23,AR,other,60085.0
2021-05-24,AR,other,55210.0
2021-05-25,AR,other,58750.0
2021-05-26,AR,other,48279.0
2021-05-27,AR,other,53659.0
2021-05-28,AR,other,54814.0
2021-05-29,AR,other,69004.0
2021-05-30,AR,other,60717.0
2021-05-31,AR,other,52168.0
2021-06-01,AR,other,47519.0
2021-06-02,AR,other,46763.0
2021-06-03,AR,other,46175.0
2021-06-04,AR,other,51611.0
2021-06-05,AR,other,64261.0
2021-06-06,AR,other,59409.0
2021-06-07,AR,other,54350.0
2021-06-08,AR,other,44778.0
2021-06-09,AR,other,26848.0
2021-06-10,AR,other,42400.0
2021-06-11,AR,other,47722.0
2021-06-12,AR,other,58773.0
2021-06-13,AR,other,56499.0
2021-06-14,AR,other,52396.0
2021-06-15,AR,other,45311.0
2021-06-16,AR,other,50594.0
2021-06-17,AR,other,30266.0
2021-06-18,AR,other,33689.0
2021-06-19,AR,other,54989.0
2021-06-20,AR,other,70892.0
2021-06-21,AR,other,37850.0
2021-06-22,AR,other,55980.0
2021-06-23,AR,other,35451.0
2021-06-24,AR,other,49446.0
2021-06-25,AR,other,63649.0
2021-06-26,AR,other,84058.0
2021-06-27,AR,other,98966.0
2021-06-28,AR,other,85068.0
2021-06-29,AR,other,78863.0
2021-06-30,AR,other,133630.0
2021-07-01,AR,other,155929.0
2021-07-02,AR,other,143068.0
2021-07-03,AR,other,139660.0
2021-07-04,AR,other,114390.0
2021-07-05,AR,other,74850.0
2021-07-06,AR,other,49332.0
2021-07-07,AR,other,43655.0
2021-07-08,AR,other,43434.0
2021-07-09,AR,other,35495.0
2021-07-10,AR,other,36518.0
2021-07-11,AR,other,39966.0
2021-07-12,AR,other,33666.0
2021-07-13,AR,other,33700.0
2021-07-14,AR,other,34828.0
2021-07-15,AR,other,30144.0
2021-07-16,AR,other,35174.0
2021-07-17,AR,other,35242.0
2021-07-18,AR,other,39494.0
2021-07-19,AR,other,33466.0
2021-07-20,AR,other,33483.0
2021-07-21,AR,other,31932.0
2021-07-22,AR,other,46126.0
2021-07-23,AR,other,15278.0
2021-07-24,AR,other,33139.0
2021-07-25,AR,other,20500.0
2021-07-26,AR,other,17485.0
2021-07-27,AR,other,25939.0
2021-07-28,AR,other,27330.0
2021-07-29,AR,other,13924.0
2021-07-30,AR,other,14820.0
2021-07-31,AR,other,17972.0
2021-08-01,AR,other,23899.0
2021-08-02,AR,other,26745.0
2021-08-03,AR,other,24856.0
2021-08-04,AR,other,28047.0
2021-08-05,AR,other,25120.0
2021-08-06,AR,other,26927.0
2021-08-07,AR,other,30268.0
2021-08-08,AR,other,35094.0
2021-08-09,AR,other,28308.0
2021-08-10,AR,other,37392.0
2021-08-11,AR,other,33136.0
2021-08-12,AR,other,39594.0
2021-08-13,AR,other,28420.0
2021-08-14,AR,other,32629.0
2021-08-15,AR,other,37505.0
2021-08-16,AR,other,33284.0
2021-08-17,AR,other,35458.0
2021-08-18,AR,other,34785.0
2021-08-19,AR,other,32854.0
2021-08-20,AR,other,31470.0
2021-08-21,AR,other,42692.0
2021-08-22,AR,other,28293.0
2021-08-23,AR,other,21808.0
2021-08-24,AR,other,33766.0
2021-08-25,AR,other,37718.0
2021-08-26,AR,other,33870.0
2021-08-27,AR,other,69400.0
2021-08-28,AR,other,79018.0
2021-08-29,AR,other,58553.0
2021-08-30,AR,other,60928.0
2021-08-31,AR,other,53953.0
2021-09-01,AR,other,49607.0
2021-09-02,AR,other,41194.0
2021-09-03,AR,other,38850.0
2021-09-04,AR,other,40363.0
2021-09-05,AR,other,39829.0
2021-09-06,AR,other,35347.0
2021-09-07,AR,other,29224.0
2021-09-08,AR,other,37504.0
2021-09-09,AR,other,31784.0
2021-09-10,AR,other,33163.0
2021-09-11,AR,other,36643.0
2021-09-12,AR,other,32758.0
2021-09-13,AR,other,21777.0
2021-09-14,AR,other,18459.0
2021-09-15,AR,other,19729.0
