date,country,network,market_volume
2021-04-26,UK,Facebook,357011.0
2021-04-27,UK,Facebook,331246.0
2021-04-28,UK,Facebook,338197.0
2021-04-29,UK,Facebook,319412.0
2021-04-30,UK,Facebook,365058.0
2021-05-01,UK,Facebook,369476.0
2021-05-02,UK,Facebook,445467.0
2021-05-03,UK,Facebook,455857.0
2021-05-04,UK,Facebook,379847.0
2021-05-05,UK,Facebook,234063.0
2021-05-06,UK,Facebook,359144.0
2021-05-07,UK,Facebook,318219.0
2021-05-08,UK,Facebook,554006.0
2021-05-09,UK,Facebook,584033.0
2021-05-10,UK,Facebook,292433.0
2021-05-11,UK,Facebook,244522.0
2021-05-12,UK,Facebook,220550.0
2021-05-13,UK,Facebook,293018.0
2021-05-14,UK,Facebook,412803.0
2021-05-15,UK,Facebook,631659.0
2021-05-16,UK,Facebook,570639.0
2021-05-17,UK,Facebook,397977.0
2021-05-18,UK,Facebook,367294.0
2021-05-19,UK,Facebook,361442.0
2021-05-20,UK,Facebook,347758.0
2021-05-21,UK,Facebook,397915.0
2021-05-22,UK,Facebook,653888.0
2021-05-23,UK,Facebook,462157.0
2021-05-24,UK,Facebook,386625.0
2021-05-25,UK,Facebook,346140.0
2021-05-26,UK,Facebook,352049.0
2021-05-27,UK,Facebook,281325.0
2021-05-28,UK,Facebook,309434.0
2021-05-29,UK,Facebook,580044.0
2021-05-30,UK,Facebook,435194.0
2021-05-31,UK,Facebook,455795.0
2021-06-01,UK,Facebook,409292.0
2021-06-02,UK,Facebook,410505.0
2021-06-03,UK,Facebook,365857.0
2021-06-04,UK,Facebook,428176.0
2021-06-05,UK,Facebook,520147.0
2021-06-06,UK,Facebook,393620.0
2021-06-07,UK,Facebook,302118.0
2021-06-08,UK,Facebook,210507.0
2021-06-09,UK,Facebook,223165.0
2021-06-10,UK,Facebook,217201.0
2021-06-11,UK,Facebook,333913.0
2021-06-12,UK,Facebook,411618.0
2021-06-13,UK,Facebook,490157.0
2021-06-14,UK,Facebook,322693.0
2021-06-15,UK,Facebook,291692.0
2021-06-16,UK,Facebook,267466.0
2021-06-17,UK,Facebook,318890.0
2021-06-18,UK,Facebook,339418.0
2021-06-19,UK,Facebook,420588.0
2021-06-20,UK,Facebook,636556.0
2021-06-21,UK,Facebook,328023.0
2021-06-22,UK,Facebook,289237.0
2021-06-23,UK,Facebook,278200.0
2021-06-24,UK,Facebook,288529.0
2021-06-25,UK,Facebook,386970.0
2021-06-26,UK,Facebook,415875.0
2021-06-27,UK,Facebook,341174.0
2021-06-28,UK,Facebook,226350.0
2021-06-29,UK,Facebook,188716.0
2021-06-30,UK,Facebook,213740.0
2021-07-01,UK,Facebook,206858.0
2021-07-02,UK,Facebook,369457.0
2021-07-03,UK,Facebook,415010.0
2021-07-04,UK,Facebook,453479.0
2021-07-05,UK,Facebook,293994.0
2021-07-06,UK,Facebook,263131.0
2021-07-07,UK,Facebook,244267.0
2021-07-08,UK,Facebook,246321.0
2021-07-09,UK,Facebook,270766.0
2021-07-10,UK,Facebook,464465.0
2021-07-11,UK,Facebook,442785.0
2021-07-12,UK,Facebook,337301.0
2021-07-13,UK,Facebook,355870.0
2021-07-14,UK,Facebook,263140.0
2021-07-15,UK,Facebook,250456.0
2021-07-16,UK,Facebook,256482.0
2021-07-17,UK,Facebook,474064.0
2021-07-18,UK,Facebook,404641.0
2021-07-19,UK,Facebook,312517.0
2021-07-20,UK,Facebook,282895.0
2021-07-21,UK,Facebook,312712.0
2021-07-22,UK,Facebook,350318.0
2021-07-23,UK,Facebook,352374.0
2021-07-24,UK,Facebook,384437.0
2021-07-25,UK,Facebook,526862.0
2021-07-26,UK,Facebook,357751.0
2021-07-27,UK,Facebook,393537.0
2021-07-28,UK,Facebook,343214.0
2021-07-29,UK,Facebook,338558.0
2021-07-30,UK,Facebook,366003.0
2021-07-31,UK,Facebook,444985.0
2021-08-01,UK,Facebook,434385.0
2021-08-02,UK,Facebook,404222.0
2021-08-03,UK,Facebook,345011.0
2021-08-04,UK,Facebook,278273.0
2021-08-05,UK,Facebook,315502.0
2021-08-06,UK,Facebook,243147.0
2021-08-07,UK,Facebook,359176.0
2021-08-08,UK,Facebook,311926.0
2021-08-09,UK,Facebook,354044.0
2021-08-10,UK,Facebook,290760.0
2021-08-11,UK,Facebook,302737.0
2021-08-12,UK,Facebook,302233.0
2021-08-13,UK,Facebook,413252.0
2021-08-14,UK,Facebook,388870.0
2021-08-15,UK,Facebook,409392.0
2021-08-16,UK,Facebook,344421.0
2021-08-17,UK,Facebook,306010.0
2021-08-18,UK,Facebook,271723.0
2021-08-19,UK,Facebook,358760.0
